Date,Description,Amount,Address,City/State,Zip Code,Country,Category,,,,,
7/27/22,CHANGE *AETNA PROVID800-495-4685        TN, $25.00 ,3055 LEBANON PIKE,"NASHVILLE
TN",37214,UNITED STATES,Health Care,,,,,
7/27/22,CHANGE *AETNA PROVID800-495-4685        TN, $25.00 ,3055 LEBANON PIKE,"NASHVILLE
TN",37214,UNITED STATES,Health Care,,,,,
7/27/22,CHANGE *AETNA PROVID800-495-4685        TN, $35.74 ,3055 LEBANON PIKE,"NASHVILLE
TN",37214,UNITED STATES,Health Care,,,,,
7/27/22,EXXONMOBIL 4792     MONROE              CT, $44.01 ,-,"(800) 243-9966
TX",77389,UNITED STATES,Transportation - Gas,,,,,
7/30/22,EXXONMOBIL 9970     RAHWAY              NJ, $47.08 ,-,"(800) 243-9966
TX",77389,UNITED STATES,Transportation - Gas,,,,,
7/31/22,APPLEBEE'S          CLARK               NJ, $62.31 ,1255 RARITAN RD UNIT 310,"CLARK
NJ",07066,UNITED STATES,Food - Restaurants,,,,,
8/1/22,NEW JERSEY E-Z PASS 888-288-6865        NJ, $50.00 ,375 MCCARTER HWY,"NEWARK
NJ",07114-2562,UNITED STATES,Transportation - Parking & Tolls,,,,,
8/1/22,TARGET.COM          800-591-3869        MN, $12.40 ,"33 SOUTH 6TH ST
STE CC1","MINNEAPOLIS
MN",55402-3700,UNITED STATES,Food - Groceries,,,,,
8/2/22,BUNGALOW            SAN FRANCISCO       CA," $1,454.40 ","1 LETTERMAN DR
SUITE C 500","SAN FRANCISCO
CA",94129,UNITED STATES,Transportation - Travel,,,,,
8/3/22,AplPay APPLE.COM/BILINTERNET CHARGE     CA, $0.99 ,One Apple Park Way,"Cupertino
CA",95014,UNITED STATES,Subscription,,,,,
8/4/22,E-Payment, $10.72 ,,,,,Utilities - Gas,,,,,
8/4/22,RITE AID 10370 1037 MONROE              CT, $7.20 ,435 MAIN ST STE 1,"MONROE
CT",06468,UNITED STATES,Food - Groceries,,,,,
8/5/22,BT*STUDY.COM 8772644MOUNTAIN VIEW       CA, $6.37 ,"100 VW ST
SUITE 202","MOUNTAIN VIEW
CA",94041,UNITED STATES,Personal - Books,,,,,
8/6/22,THREE GIRLS VEGAN CRGuilford            CT, $50.00 ,645 BOSTON POST RD,"GUILFORD
CT",06437,UNITED STATES,Food - Restaurants,,,,,
8/6/22,WENDY'S BRANFORD 000BRANFORD            CT, $2.14 ,1016 WEST MAIN ST,"BRANFORD
CT",06405,UNITED STATES,Food - Restaurants,,,,,
8/9/22,E-Payment," $1,550.00 ",,,,,Housing,,,,,
8/9/22,EXXONMOBIL 9742     FAIRFIELD           CT, $54.01 ,-,"(800) 243-9966
TX",77389,UNITED STATES,Transportation - Gas,,,,,
8/9/22,MOES BISTRO 02177002NEW PROVIDENC       NJ, $168.80 ,535 CENTRAL AVE,"NEW PROVIDENCE
NJ",7974,UNITED STATES,Food - Restaurants,,,,,
8/10/22,TARGET              NORTH HAVEN         CT, $24.03 ,200 UNIVERSAL DR NORTH,"NORTH HAVEN
CT",06473,UNITED STATES,Food - Groceries,,,,,
8/11/22,E-Payment, $154.79 ,,,,,Utilities - Electric,,,,,
8/11/22,CUMBERLAND FARMS 476MONROE              CT, $48.01 ,455 MAIN ST,"MONROE
CT",06468,UNITED STATES,Transportation - Gas,,,,,
8/11/22,TARGET              ORANGE              CT, $786.95 ,25 BOSTON POST RD,"ORANGE
CT",06477,UNITED STATES,Food - Groceries,,,,,
8/13/22,AMAZON.COM*2649A33F3AMZN.COM/BILL       WA, $37.15 ,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,Personal - Books,,,,,
8/13/22,CANTALOUPE 2 0000   MALVERN             PA, $7.00 ,100 DEERFIELD LN STE 300,"MALVERN
PA",19355,UNITED STATES,Food - Groceries,,,,,
8/13/22,OUTBACK STEAKHOUSE  SPRINGFIELD         NJ, $168.00 ,901 MTN AVE,"SPRINGFIELD
NJ",07081-3414,UNITED STATES,Food - Restaurants,,,,,
8/13/22,THE LEARNING CENTER KENILWORTH          NJ, $29.00 ,"OF FINANCE
ADMINISTRATION BLDG","ELIZABETH
NJ",07207,UNITED STATES,Personal - Entertainment,,,,,
8/15/22,COMCAST CABLE COMM  800-COMCAST         NH, $39.99 ,"676 ISLAND POND RD
-","MANCHESTER
NH",03109,UNITED STATES,Utilities - Internet,,,,,
8/15/22,"THRIFT Personal - Books GLOBAL,TUKWILA             WA", $12.10 ,18300 CASCADE AVE SOUTH STE 150,"SEATTLE
WA",98188,UNITED STATES,Personal - Books,,,,,
8/15/22,"THRIFT Personal - Books GLOBAL,TUKWILA             WA", $24.12 ,18300 CASCADE AVE SOUTH STE 150,"SEATTLE
WA",98188,UNITED STATES,Personal - Books,,,,,
8/16/22,E-Payment, $166.00 ,,,,,Transportation - Loan,,,,,
8/16/22,E-Payment, $116.00 ,,,,,Transportation - Insurance,,,,,
8/18/22,EXXONMOBIL 4792     MONROE              CT, $50.00 ,-,"(800) 243-9966
TX",77389,UNITED STATES,Transportation - Gas,,,,,
8/18/22,PAYPAL *FIRMOOONLIN 8554876006          CH, $82.71 ,.,"San Jose
CA",95131,UNITED STATES,Personal - Clothing,,,,,
8/20/22,AMAZON MARKEPLACE NA PA, $28.70 ,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,Personal - Books,,,,,
8/20/22,STOP & SHOP         HAMDEN              CT, $53.50 ,2335 DIXWELL AVE STE 5,"HAMDEN
CT",06514,UNITED STATES,Food - Groceries,,,,,
8/26/22,RITE AID 10370 1037 MONROE              CT, $42.26 ,435 MAIN ST STE 1,"MONROE
CT",06468,UNITED STATES,Food - Groceries,,,,,
8/27/22,AIRBNB * HMNKSJ48XX SAN FRANCISCO       CA," $1,791.53 ",888 BRANNAN ST FL 4,"SAN FRANCISCO
CA",94103,UNITED STATES,Transportation - Travel,,,,,
8/27/22,AIRBNB * INC        SAN FRANCISCO       CA, $500.00 ,888 BRANNAN ST FL 4,"SAN FRANCISCO
CA",94103,UNITED STATES,Transportation - Travel,,,,,
8/27/22,HYATT HILLS GOLF COURESTON              VA, $30.00 ,"12700 SNRS VLY DR
STE 300","RESTON
VA",20191-5807,UNITED STATES,Personal - Entertainment,,,,,
8/27/22,LSF SHORT HILLS 00E7SHORT HILLS         NJ, $280.00 ,1200 MORRIS TPKE,"SHORT HILLS
NJ",07078,UNITED STATES,Food - Restaurants,,,,,
8/27/22,SUNOCO 0558352100 05WALL TOWNSHIP       NJ, $49.24 ,-,"-
TX",75231,UNITED STATES,Transportation - Gas,,,,,
8/28/22,CHIPOTLE 3052 0000  SPRINGFIELD         NJ, $75.44 ,713 MORRIS TPKE,"SPRINGFIELD
NJ",07081,UNITED STATES,Food - Restaurants,,,,,
8/28/22,MACYS  SHORT HILLS 0SHORT HILLS         NJ, $399.99 ,KENNEDY PARKWAY WEST,"SHORT HILLS
NJ",07078,UNITED STATES,Personal - Clothing,,,,,
8/30/22,NEW JERSEY E-Z PASS 888-288-6865        NJ, $50.00 ,375 MCCARTER HWY,"NEWARK
NJ",07114-2562,UNITED STATES,Transportation - Parking & Tolls,,,,,
8/30/22,DUNKIN #344944 Q35 3MONROE              CT, $5.45 ,695 MAIN ST,"MONROE
CT",06468,UNITED STATES,Food - Restaurants,,,,,
8/30/22,KOHLS.COM           http://www.kohls.comOH, $44.99 ,3500 SALZMAN RD,"MIDDLETOWN
OH",45044-9401,UNITED STATES,Personal - Clothing,,,,,
8/31/22,AplPay SUBWAY       MONROE              CT, $9.75 ,640 MAIN ST,"MONROE
CT",06468-2808,UNITED STATES,Food - Restaurants,,,,,
9/1/22,VIOC GE1605 GE16    MONROE              CT, $82.29 ,"RR 25
163 MAIN ST","MONROE
CT",06468-1166,UNITED STATES,Transportation - Maintenance,,,,,
9/2/22,E-Payment, $18.07 ,,,,,Utilities - Gas,,,,,
9/3/22,AplPay APPLE.COM/BILINTERNET CHARGE     CA, $0.99 ,One Apple Park Way,"Cupertino
CA",95014,UNITED STATES,Subscription,,,,,
9/4/22,ANCESTRY.COM        800-262-3787        UT, $16.67 ,1300 WEST TRAVERSE PKWY,"LEHI
UT",84043,UNITED STATES,Personal - Miscellaneous,,,,,
9/4/22,TARGET              CLARK               NJ, $58.04 ,45 CENTRAL AVE,"CLARK
NJ",07066,UNITED STATES,Food - Groceries,,,,,
9/6/22,PAYPAL *FIRMOOONLIN 8554876006          CH, $9.96 ,.,"San Jose
CA",95131,UNITED STATES,Health Care,,,,,
9/6/22,THE UPS STORE       NEW HAVEN           CT, $23.93 ,33 DIXWELL AVE,"NEW HAVEN
CT",06511,UNITED STATES,Personal - Miscellaneous,,,,,
9/8/22,E-Payment, $166.00 ,,,,,Transportation - Loan,,,,,
9/8/22,E-Payment, $95.00 ,,,,,Transportation - Insurance,,,,,
9/13/22,E-Payment," $1,550.00 ",,,,,Housing,,,,,
9/14/22,CHARLES TYRWHITT SHILONDON              GB, $42.49 ,"PMB 303
103 FOULK ROAD","WILMINGTON
DE",19803,UNITED STATES,Personal - Clothing,,,,,
9/15/22,AUTOZONE # 3475 0000NEW HAVEN           CT, $13.81 ,495 ORCH ST,"NEW HAVEN
CT",06511,UNITED STATES,Transportation - Maintenance,,,,,
9/15/22,COMCAST CABLE COMM  800-COMCAST         NH, $39.99 ,"676 ISLAND POND RD
-","MANCHESTER
NH",03109,UNITED STATES,Utilities - Internet,,,,,
9/15/22,SKULL & COMBS CO.   New Haven           CT, $50.00 ,832 STATE ST,"NEW HAVEN
CT",06511,UNITED STATES,Personal - Miscellaneous,,,,,
9/17/22,STOP & SHOP #694    N HAVEN             CT, $10.82 ,79 WASHINGTON AVE,"NORTH HAVEN
CT",06473,UNITED STATES,Food - Groceries,,,,,
9/17/22,TFT NORTH HAVEN #528NORTH HAVEN         CT, $466.24 ,"55 WASHINGTON AVE
STE 2","NORTH HAVEN
CT",06473-1716,UNITED STATES,Transportation - Travel,,,,,
9/20/22,STOP & SHOP #2633   NEW HAVEN           CT, $102.11 ,140 WHALLEY AVE,"NEW HAVEN
CT",06511,UNITED STATES,Food - Groceries,,,,,
9/23/22,CHIPOTLE            ITHACA              NY, $18.68 ,740 SOUTH MDWS ST,"ITHACA
NY",14850-5377,UNITED STATES,Food - Restaurants,,,,,
9/23/22,DISCORD* NITROMONTHLSAN FRANCISCO       CA, $9.99 ,"444 DE HARO ST
SUITE 200","SAN FRANCISCO
CA",94107,UNITED STATES,Personal - Clothing,,,,,
9/24/22,WAL-MART SUPERCENTERITHACA              NY, $33.42 ,135 FAIRGROUNDS MEMORIAL,"ITHACA
NY",14850-5362,UNITED STATES,Food - Groceries,,,,,
9/25/22,TST* COLLEGETOWN BAGITHACA              NY, $2.70 ,420 COLLEGE AVE,"ITHACA
NY",14850-4626,UNITED STATES,Food - Restaurants,,,,,
9/25/22,TST* COLLEGETOWN BAGITHACA              NY, $50.49 ,420 COLLEGE AVE,"ITHACA
NY",14850-4626,UNITED STATES,Food - Restaurants,,,,,
9/26/22,E-Payment, $122.90 ,,,,,Utilities - Electric,,,,,
9/30/22,CUMBERLAND FARMS 476MONROE              CT, $30.00 ,455 MAIN ST,"MONROE
CT",06468,UNITED STATES,Transportation - Gas,,,,,
10/1/22,ANCESTRY.COM        800-262-3787        UT, $25.00 ,1300 WEST TRAVERSE PKWY,"LEHI
UT",84043,UNITED STATES,Personal - Miscellaneous,,,,,
10/1/22,TARGET              NORTH HAVEN         CT, $210.17 ,200 UNIVERSAL DR NORTH,"NORTH HAVEN
CT",06473,UNITED STATES,Food - Groceries,,,,,
10/3/22,AplPay APPLE.COM/BILINTERNET CHARGE     CA, $0.99 ,One Apple Park Way,"Cupertino
CA",95014,UNITED STATES,Subscription,,,,,
10/4/22,"THRIFT Personal - Books GLOBAL,TUKWILA             WA", $74.52 ,18300 CASCADE AVE SOUTH STE 150,"SEATTLE
WA",98188,UNITED STATES,Personal - Books,,,,,
10/5/22,E-Payment, $166.00 ,,,,,Transportation - Loan,,,,,
10/5/22,E-Payment, $95.00 ,,,,,Transportation - Insurance,,,,,
10/6/22,E-Payment, $35.94 ,,,,,Utilities - Gas,,,,,
10/7/22,DISNEYPLUS          888-905-7888        CA, $6.38 ,500 SOUTH BUENA VIS ST,"BURBANK
CA",91521,UNITED STATES,Personal - Entertainment,,,,,
10/7/22,BEST BUY            NORTH HAVEN         CT, $111.64 ,398 UNIVERSAL DR NORTH STE 1234,"NORTH HAVEN
CT",06473,UNITED STATES,Personal - Electronics,,,,,
10/7/22,TARGET              NORTH HAVEN         CT, $32.00 ,200 UNIVERSAL DR NORTH,"NORTH HAVEN
CT",06473,UNITED STATES,Food - Groceries,,,,,
10/9/22,FUBO TV             844-441-3826        NY, $1.00 ,1330 AVE OF THE AMERICAS FL 9,"NEW YORK
NY",10019,UNITED STATES,Personal - Entertainment,,,,,
10/12/22,E-Payment," $1,550.00 ",,,,,Housing,,,,,
10/15/22,COMCAST CABLE COMM  800-COMCAST         NH, $39.99 ,"676 ISLAND POND RD
-","MANCHESTER
NH",03109,UNITED STATES,Utilities - Internet,,,,,
10/15/22,CHIPOTLE 1981 0000  NEW HAVEN           CT, $13.20 ,900 CHAPEL ST,"NEW HAVEN
CT",06510-2802,UNITED STATES,Food - Restaurants,,,,,
10/15/22,NICAS MARKET 6500000NEW HAVEN           CT, $6.62 ,603 ORANGE ST,"NEW HAVEN
CT",06511,UNITED STATES,Food - Groceries,,,,,
10/15/22,POKEMOTO (CHAPEL ST)NEW HAVEN           CT, $24.76 ,1145 CHAPEL ST,"NEW HAVEN
CT",06511,UNITED STATES,Food - Restaurants,,,,,
10/16/22,FUBO TV             844-441-3826        NY, $1.00 ,1330 AVE OF THE AMERICAS FL 9,"NEW YORK
NY",10019,UNITED STATES,Personal - Entertainment,,,,,
10/17/22,AMAZON.COM*HT6AH9UJ1AMZN.COM/BILL       WA, $20.15 ,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,Personal - Books,,,,,
10/17/22,CHIPOTLE 1981 0000  NEW HAVEN           CT, $8.53 ,900 CHAPEL ST,"NEW HAVEN
CT",06510-2802,UNITED STATES,Food - Restaurants,,,,,
10/17/22,POKEMOTO (CHAPEL ST)NEW HAVEN           CT, $17.17 ,1145 CHAPEL ST,"NEW HAVEN
CT",06511,UNITED STATES,Food - Restaurants,,,,,
10/17/22,SLING TV            ENGLEWOOD           CO, $37.22 ,9601 SOUTH MERIDIAN BLVD,"ENGLEWOOD
CO",80112-5905,UNITED STATES,Personal - Entertainment,,,,,
10/17/22,SKULL & COMBS CO.   New Haven           CT, $52.50 ,832 STATE ST,"NEW HAVEN
CT",06511,UNITED STATES,Personal - Miscellaneous,,,,,
10/18/22,TICKET OFFICE 0000  ITHACA              NY, $693.00 ,554 CAMPUS RD,"ITHACA
NY",14853,UNITED STATES,Personal - Entertainment,,,,,
10/20/22,BT*DD *DOORDASH COSTSAN FRANCISCO       CA, $36.21 ,303 2ND ST FL 8,"SAN FRANCISCO
CA",94107,UNITED STATES,Food - Restaurants,,,,,
10/22/22,UBER EATS           SAN FRANSISCO       CA, $30.63 ,"1455 MARKET ST 4TH
FL","SAN FRANCISCO
CA",94103,UNITED STATES,Food - Restaurants,,,,,
10/23/22,CVS PHARMACY        HAMDEN              CT, $37.96 ,2045 DIXWELL AVE,"HAMDEN
CT",06514,UNITED STATES,Health Care,,,,,
10/25/22,E-Payment, $65.44 ,,,,,Utilities - Electric,,,,,
10/27/22,NEW JERSEY E-Z PASS 888-288-6865        NJ, $50.00 ,375 MCCARTER HWY,"NEWARK
NJ",07114-2562,UNITED STATES,Transportation - Parking & Tolls,,,,,
10/29/22,BT*DD *DOORDASH MANNSAN FRANCISCO       CA, $23.45 ,303 2ND ST FL 8,"SAN FRANCISCO
CA",94107,UNITED STATES,Food - Restaurants,,,,,
10/29/22,UCVTS Magnet High ScSCOTCH PLAINS       NJ, $30.00 ,1776 RARITAN RD,"SCOTCH PLAINS
NJ",07076,UNITED STATES,Personal - Entertainment,,,,,
10/30/22,AMAZON.COM*H01ME1BN1AMZN.COM/BILL       WA, $98.72 ,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,Personal - Books,,,,,
10/31/22,Audible             audible.com         NJ, $12.27 ,1 WASHINGTON PARK,"NEWARK
NJ",07102-3122,UNITED STATES,Personal - Books,,,,,
11/1/22,BEST BUY            TRUMBULL            CT, $308.40 ,"100 HAWLEY LN
STE 1","TRUMBULL
CT",06611-5330,UNITED STATES,Personal - Electronics,,,,,
11/2/22,TOTAL PROMOTIONS 000HIGHLAND PARK       IL, $161.74 ,1340 OLD SKOKIE VLY RD,"HIGHLAND PARK
IL",60035,UNITED STATES,Personal - Clothing,,,,,
11/3/22,E-Payment, $31.39 ,,,,,Utilities - Gas,,,,,
11/3/22,AplPay APPLE.COM/BILINTERNET CHARGE     CA, $0.99 ,One Apple Park Way,"Cupertino
CA",95014,UNITED STATES,Subscription,,,,,
11/3/22,DICKS SPORTING      MILFORD             CT, $90.39 ,1201 BOSTON POST RD,"MILFORD
CT",06460,UNITED STATES,Personal - Clothing,,,,,
11/3/22,MISS CHOCOLATE 00-08MELVILLE            NY, $47.52 ,300 SPAGNOLI RD,"MELVILLE
NY",11747-3507,UNITED STATES,Food - Groceries,,,,,
11/5/22,BRILLIANTEARTHLLC   SAN FRANCISCO       CA, $593.21 ,300 GRANT AVE,"SAN FRANCISCO
CA",94108,UNITED STATES,Personal - Miscellaneous,,,,,
11/9/22,Audible             audible.com         NJ, $12.61 ,1 WASHINGTON PARK,"NEWARK
NJ",07102-3122,UNITED STATES,Personal - Books,,,,,
11/13/22,COURSRAN4M56Y60RZL30MOUNTAIN VI         CA, $41.48 ,381 EAST EVELYN AVE,"MOUNTAIN VIEW
CA",94041-1530,UNITED STATES,Personal - Books,,,,,
11/13/22,STOP & SHOP         HAMDEN              CT, $118.47 ,2335 DIXWELL AVE STE 5,"HAMDEN
CT",06514,UNITED STATES,Food - Groceries,,,,,
11/15/22,E-Payment," $1,550.00 ",,,,,Housing,,,,,
11/15/22,COMCAST CABLE COMM  800-COMCAST         NH, $39.99 ,"676 ISLAND POND RD
-","MANCHESTER
NH",03109,UNITED STATES,Utilities - Internet,,,,,
11/16/22,Audible             audible.com         NJ, $15.90 ,1 WASHINGTON PARK,"NEWARK
NJ",07102-3122,UNITED STATES,Personal - Books,,,,,
11/16/22,DUNKIN #344944 Q35 3MONROE              CT, $7.92 ,695 MAIN ST,"MONROE
CT",06468,UNITED STATES,Food - Restaurants,,,,,
11/17/22,BRILLIANTEARTHLLC   SAN FRANCISCO       CA, $1.53 ,300 GRANT AVE,"SAN FRANCISCO
CA",94108,UNITED STATES,Personal - Miscellaneous,,,,,
11/18/22,STUBHUB             SAN FRANCISCO       CA," $1,615.95 ",199 FREMONT ST,"SAN FRANCISCO
CA",94105,UNITED STATES,Personal - Entertainment,,,,,
11/20/22,FRANK PEPES         NEW HAVEN           CT, $27.53 ,"ONE WORLD TRADE
CTR 82ND FLOOR","NEW YORK
NY",10007,UNITED STATES,Food - Restaurants,,,,,
11/21/22,"THRIFT Personal - Books GLOBAL,TUKWILA             WA", $26.90 ,18300 CASCADE AVE SOUTH STE 150,"SEATTLE
WA",98188,UNITED STATES,Personal - Books,,,,,
11/23/22,E-Payment, $166.00 ,,,,,Transportation - Loan,,,,,
11/23/22,E-Payment, $95.00 ,,,,,Transportation - Insurance,,,,,
11/23/22,E-Payment, $55.97 ,,,,,Utilities - Electric,,,,,
11/23/22,AplPay PARKMOBILE   HOBOKEN             NJ, $2.35 ,1100 SPG ST NORTH WEST STE 200,"ATLANTA
GA",30309,UNITED STATES,Transportation - Parking & Tolls,,,,,
11/25/22,BT*DD *DOORDASH MANNSAN FRANCISCO       CA, $42.62 ,303 2ND ST FL 8,"SAN FRANCISCO
CA",94107,UNITED STATES,Food - Restaurants,,,,,
11/26/22,AplPay PARKMOBILE   770-818-9036        GA, $1.95 ,1100 SPG ST NORTH WEST STE 200,"ATLANTA
GA",30309,UNITED STATES,Transportation - Parking & Tolls,,,,,
11/27/22,CVS PHARMACY        HAMDEN              CT, $22.84 ,2045 DIXWELL AVE,"HAMDEN
CT",06514,UNITED STATES,Health Care,,,,,
11/27/22,NYCDOT PARKNYC      LONG ISLAND C       NY, $11.45 ,34-02 QUEENS BLVD,"LONG ISLAND CITY
NY",11101,UNITED STATES,Transportation - Parking & Tolls,,,,,
11/27/22,SPLASH CAR WASH HAMDHAMDEN              CT, $11.70 ,27 CONNOLLY PKWY,"HAMDEN
CT",06514,UNITED STATES,Transportation - Maintenance,,,,,
11/27/22,WALGREENS           NEW HAVEN           CT, $17.63 ,87 FOXON ST,"NEW HAVEN
CT",06513,UNITED STATES,Food - Groceries,,,,,
11/28/22,AplPay APPLE.COM/BILINTERNET CHARGE     CA, $42.64 ,One Apple Park Way,"Cupertino
CA",95014,UNITED STATES,Personal - Entertainment,,,,,
11/28/22,NEW JERSEY E-Z PASS 888-288-6865        NJ, $35.00 ,375 MCCARTER HWY,"NEWARK
NJ",07114-2562,UNITED STATES,Transportation - Parking & Tolls,,,,,
12/1/22,AMZN DIGITAL*7Q87E7S888-802-3080        WA, $9.56 ,"410 TERRY AVE N
-","SEATTLE
WA",98109,UNITED STATES,Personal - Books,,,,,
12/3/22,AplPay APPLE.COM/BILINTERNET CHARGE     CA, $0.99 ,One Apple Park Way,"Cupertino
CA",95014,UNITED STATES,Subscription,,,,,
12/4/22,PRIME VIDEO *TE46V4H888-802-3080        WA, $4.24 ,"410 TERRY AVE N
-","SEATTLE
WA",98109,UNITED STATES,Personal - Entertainment,,,,,
12/5/22,E-Payment, $44.16 ,,,,,Utilities - Gas,,,,,
12/6/22,STOP & SHOP         HAMDEN              CT, $57.30 ,2335 DIXWELL AVE STE 5,"HAMDEN
CT",06514,UNITED STATES,Food - Groceries,,,,,
12/8/22,E-Payment, $166.00 ,,,,,Transportation - Insurance,,,,,
12/8/22,E-Payment, $95.00 ,,,,,Housing,,,,,
12/9/22,E-Payment," $1,550.00 ",,,,,Housing,,,,,
12/10/22,PRIME VIDEO *OW8Y963888-802-3080        WA, $4.24 ,"410 TERRY AVE N
-","SEATTLE
WA",98109,UNITED STATES,Personal - Entertainment,,,,,
12/10/22,STOP & SHOP         HAMDEN              CT, $122.00 ,2335 DIXWELL AVE STE 5,"HAMDEN
CT",06514,UNITED STATES,Food - Groceries,,,,,
12/10/22,UNITED AIRLINES     HOUSTON             TX, $377.35 ,"HSCAC - 12TH
FLOOR 609 MAIN STREET","HOUSTON
TX",77002,UNITED STATES,Transportation - Travel,,,,,
12/11/22,GOOGLE *YT PRIMETIMEG.CO/HELPPAY#       CA, $8.99 ,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,Personal - Miscellaneous,,,,,
12/12/22,STOP & SHOP #2633   NEW HAVEN           CT, $61.19 ,140 WHALLEY AVE,"NEW HAVEN
CT",06511,UNITED STATES,Food - Groceries,,,,,
12/13/22,YALE UNIVERSITY AMANNEW HAVEN           CT, $3.00 ,"2 WHITNEY AVE 1
FL","NEW HAVEN
CT",06520,UNITED STATES,Transportation - Parking & Tolls,,,,,
12/15/22,Audible             audible.com         NJ, $15.90 ,1 WASHINGTON PARK,"NEWARK
NJ",07102-3122,UNITED STATES,Personal - Books,,,,,
12/15/22,COMCAST CABLE COMM  800-COMCAST         NH, $39.99 ,"676 ISLAND POND RD
-","MANCHESTER
NH",03109,UNITED STATES,Utilities - Internet,,,,,
12/20/22,BEST BUY            NORTH HAVEN         CT, $60.60 ,398 UNIVERSAL DR NORTH STE 1234,"NORTH HAVEN
CT",06473,UNITED STATES,Personal - Electronics,,,,,
12/21/22,SKULL & COMBS CO.   New Haven           CT, $45.00 ,832 STATE ST,"NEW HAVEN
CT",06511,UNITED STATES,Personal - Miscellaneous,,,,,
12/23/22,E-Payment, $56.43 ,,,,,Utilities - Electric,,,,,
12/23/22,AMAZON.COM          AMZN.COM/BILL       WA, $32.21 ,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,Personal - Miscellaneous,,,,,
12/23/22,EPC*EPIC GAMES STORE919-854-0070        NC, $5.31 ,620 XRDS BLVD,"CARY
NC",27518-6965,UNITED STATES,Personal - Entertainment,,,,,
12/23/22,"THRIFT Personal - Books GLOBAL,TUKWILA             WA", $64.68 ,18300 CASCADE AVE SOUTH STE 150,"SEATTLE
WA",98188,UNITED STATES,Personal - Books,,,,,
12/24/22,AMAZON.COM          AMZN.COM/BILL       WA, $25.00 ,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,Personal - Miscellaneous,,,,,
12/25/22,AMAZON.COM          AMZN.COM/BILL       WA, $25.00 ,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,Personal - Miscellaneous,,,,,
12/25/22,NEW JERSEY E-Z PASS 888-288-6865        NJ, $35.00 ,375 MCCARTER HWY,"NEWARK
NJ",07114-2562,UNITED STATES,Transportation - Parking & Tolls,,,,,
12/27/22,STEAMPOWERED.COM, $5.31 ,10400 NORTH EAST 4TH ST,"BELLEVUE
WA",98004,UNITED STATES,Personal - Entertainment,,,,,
12/30/22,MACYS  SHORT HILLS 0SHORT HILLS         NJ, $208.75 ,KENNEDY PARKWAY WEST,"SHORT HILLS
NJ",07078,UNITED STATES,Personal - Clothing,,,,,
12/30/22,UMI SUSHI 0001      MILLBURN            NJ, $101.00 ,339 MILLBURN AVE,"MILLBURN
NJ",07041,UNITED STATES,Food - Restaurants,,,,,
12/31/22,E-Payment, $81.27 ,,,,,Utilities - Gas,,,,,
